File Name,Date,Particulars,Vch Type,Vch No.,Debit,Credit
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Sep-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",54,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,26-Sep-19,"HDFC Bank  9564 50,000.00 1411 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,1411,,50000.00
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Oct-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",55,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,4-Oct-19,"HDFC Bank  9564 5,000.00 1439 Payment
NEFT DR-SBIN0000164-PERMESER",Payment,1439,,5000.00
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Nov-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",56,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Nov-19,Transaction details,Purchase,,297780.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Dec-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",57,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,16-Dec-19,"HDFC Bank  9564 50,000.00 1824 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,1824,,50000.00
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Jan-20,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",58,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Feb-20,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",360,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,18-Feb-20,"HDFC Bank  9564 50,000.00 2066 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,2066,,50000.00
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Mar-20,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",60,31860.00,
IMPERIAL IMPEX.pdf,9-Nov-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
457.66 Dr
CGST
41.17 Dr
SGST
41.17 Dr",123,457.66,
IMPERIAL IMPEX.pdf,5-Feb-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
380.54 Dr
CGST
34.23 Dr
SGST
34.23 Dr",124,380.54,
PRECISION HOUSE.pdf,18-Feb-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
400.00 Dr
CGST
36.00 Dr
SGST
36.00 Dr",219,400.00,
HDB FINANCIAL SERVICES LTD.pdf,27-May-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
3813.56 Dr
CGST
343.22 Dr
CGST
38.14 Dr
SGST
343.22 Dr
SGST
38.14 Dr",85,3813.56,
HDB FINANCIAL SERVICES LTD.pdf,27-May-19,"(as per details)
PURCHASES
CGST
CGST
SGST
SGST","PURCHASES
3813.56 Dr
CGST
343.22 Dr
CGST
38.14 Dr
SGST
343.22 Dr
SGST
38.14 Dr",86,3813.56,
MANNAN TOOLS CENTRE.pdf,5-Feb-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
380.00 Dr
CGST
34.20 Dr
SGST
34.20 Dr",261,380.00,
G K FILLING.pdf,23-Apr-19,"HDFC Bank  9564 3,670.72 199 Payment
POS 524254XXXXXX1996 G K FILLING",Payment,199,,3670.72
HARBANS SINGH & SONS.pdf,21-Nov-19,"(as per details)
PURCHASES
IGST
BEING PURCHASES MADE VIDE INVOICE
NO  ZNQ","PURCHASES
10624.11 Dr
IGST
1274.89 Dr",2,11899.00,
MATHA AUTO AGENCIES.pdf,27-Jul-19,"(as per details)
PURCHASES
IGST","PURCHASES
1652.54 Dr
IGST
297.46 Dr",317,1652.54,
